ABIDJAN,Africa/Abidjan
ACCRA,Africa/Accra
ACRE,Brazil/Acre
ACT,Australia/ACT
ADAK,America/Adak
ADDIS_ABABA,Africa/Addis_Ababa
ADELAIDE,Australia/Adelaide
ADEN,Asia/Aden
ALASKA,US/Alaska
ALEUTIAN,US/Aleutian
ALGIERS,Africa/Algiers
ALMATY,Asia/Almaty
AMMAN,Asia/Amman
AMSTERDAM,Europe/Amsterdam
ANADYR,Asia/Anadyr
ANCHORAGE,America/Anchorage
ANDORRA,Europe/Andorra
ANGUILLA,America/Anguilla
ANTANANARIVO,Indian/Antananarivo
ANTIGUA,America/Antigua
APIA,Pacific/Apia
AQTAU,Asia/Aqtau
AQTOBE,Asia/Aqtobe
ARAGUAINA,America/Araguaina
ARIZONA,US/Arizona
ARUBA,America/Aruba
ASHGABAT,Asia/Ashgabat
ASHKHABAD,Asia/Ashkhabad
ASMARA,Africa/Asmara
ASMERA,Africa/Asmera
ASTRAKHAN,Europe/Astrakhan
ASUNCION,America/Asuncion
ATHENS,Europe/Athens
ATIKOKAN,America/Atikokan
ATKA,America/Atka
ATLANTIC,Canada/Atlantic
ATYRAU,Asia/Atyrau
AUCKLAND,Pacific/Auckland
AZORES,Atlantic/Azores
BAGHDAD,Asia/Baghdad
BAHIA,America/Bahia
BAHIA_BANDERAS,America/Bahia_Banderas
BAHRAIN,Asia/Bahrain
BAJANORTE,Mexico/BajaNorte
BAJASUR,Mexico/BajaSur
BAKU,Asia/Baku
BAMAKO,Africa/Bamako
BANGKOK,Asia/Bangkok
BANGUI,Africa/Bangui
BANJUL,Africa/Banjul
BARBADOS,America/Barbados
BARNAUL,Asia/Barnaul
BEIRUT,Asia/Beirut
BELEM,America/Belem
BELFAST,Europe/Belfast
BELGRADE,Europe/Belgrade
BELIZE,America/Belize
BERLIN,Europe/Berlin
BERMUDA,Atlantic/Bermuda
BEULAH,America/North_Dakota/Beulah
BISHKEK,Asia/Bishkek
BISSAU,Africa/Bissau
BLANC-SABLON,America/Blanc-Sablon
BLANTYRE,Africa/Blantyre
BOA_VISTA,America/Boa_Vista
BOGOTA,America/Bogota
BOISE,America/Boise
BOUGAINVILLE,Pacific/Bougainville
BRATISLAVA,Europe/Bratislava
BRAZZAVILLE,Africa/Brazzaville
BRISBANE,Australia/Brisbane
BROKEN_HILL,Australia/Broken_Hill
BRUNEI,Asia/Brunei
BRUSSELS,Europe/Brussels
BUCHAREST,Europe/Bucharest
BUDAPEST,Europe/Budapest
BUENOS_AIRES,America/Buenos_Aires
BUJUMBURA,Africa/Bujumbura
BUSINGEN,Europe/Busingen
CAIRO,Africa/Cairo
CALCUTTA,Asia/Calcutta
CAMBRIDGE_BAY,America/Cambridge_Bay
CAMPO_GRANDE,America/Campo_Grande
CANARY,Atlantic/Canary
CANBERRA,Australia/Canberra
CANCUN,America/Cancun
CAPE_VERDE,Atlantic/Cape_Verde
CARACAS,America/Caracas
CASABLANCA,Africa/Casablanca
CASEY,Antarctica/Casey
CATAMARCA,America/Catamarca
CAYENNE,America/Cayenne
CAYMAN,America/Cayman
CENTER,America/North_Dakota/Center
CENTRAL,Canada/Central
CEUTA,Africa/Ceuta
CHAGOS,Indian/Chagos
CHATHAM,Pacific/Chatham
CHICAGO,America/Chicago
CHIHUAHUA,America/Chihuahua
CHISINAU,Europe/Chisinau
CHITA,Asia/Chita
CHOIBALSAN,Asia/Choibalsan
CHONGQING,Asia/Chongqing
CHRISTMAS,Indian/Christmas
CHUNGKING,Asia/Chungking
CHUUK,Pacific/Chuuk
COCOS,Indian/Cocos
COLOMBO,Asia/Colombo
COMODRIVADAVIA,America/Argentina/ComodRivadavia
COMORO,Indian/Comoro
CONAKRY,Africa/Conakry
CONTINENTAL,Chile/Continental
COPENHAGEN,Europe/Copenhagen
CORAL_HARBOUR,America/Coral_Harbour
CORDOBA,America/Cordoba
COSTA_RICA,America/Costa_Rica
CRESTON,America/Creston
CUIABA,America/Cuiaba
CURACAO,America/Curacao
CURRIE,Australia/Currie
DACCA,Asia/Dacca
DAKAR,Africa/Dakar
DAMASCUS,Asia/Damascus
DANMARKSHAVN,America/Danmarkshavn
DAR_ES_SALAAM,Africa/Dar_es_Salaam
DARWIN,Australia/Darwin
DAVIS,Antarctica/Davis
DAWSON,America/Dawson
DAWSON_CREEK,America/Dawson_Creek
DENORONHA,Brazil/DeNoronha
DENVER,America/Denver
DETROIT,America/Detroit
DHAKA,Asia/Dhaka
DILI,Asia/Dili
DJIBOUTI,Africa/Djibouti
DOMINICA,America/Dominica
DOUALA,Africa/Douala
DUBAI,Asia/Dubai
DUBLIN,Europe/Dublin
DUMONTDURVILLE,Antarctica/DumontDUrville
DUSHANBE,Asia/Dushanbe
EASTERISLAND,Chile/EasterIsland
EASTERN,Canada/Eastern
EASTER,Pacific/Easter
EAST-INDIANA,US/East-Indiana
EDMONTON,America/Edmonton
EFATE,Pacific/Efate
EIRUNEPE,America/Eirunepe
EL_AAIUN,Africa/El_Aaiun
EL_SALVADOR,America/El_Salvador
ENDERBURY,Pacific/Enderbury
ENSENADA,America/Ensenada
EUCLA,Australia/Eucla
FAEROE,Atlantic/Faeroe
FAKAOFO,Pacific/Fakaofo
FAMAGUSTA,Asia/Famagusta
FAROE,Atlantic/Faroe
FIJI,Pacific/Fiji
FORTALEZA,America/Fortaleza
FORT_NELSON,America/Fort_Nelson
FORT_WAYNE,America/Fort_Wayne
FREETOWN,Africa/Freetown
FUNAFUTI,Pacific/Funafuti
GABORONE,Africa/Gaborone
GALAPAGOS,Pacific/Galapagos
GAMBIER,Pacific/Gambier
GAZA,Asia/Gaza
GENERAL,Mexico/General
GIBRALTAR,Europe/Gibraltar
GLACE_BAY,America/Glace_Bay
GMT+10,Etc/GMT+10
GMT-10,Etc/GMT-10
GMT+11,Etc/GMT+11
GMT-11,Etc/GMT-11
GMT+12,Etc/GMT+12
GMT-12,Etc/GMT-12
GMT-13,Etc/GMT-13
GMT-14,Etc/GMT-14
GMT+1,Etc/GMT+1
GMT-1,Etc/GMT-1
GMT+2,Etc/GMT+2
GMT-2,Etc/GMT-2
GMT+3,Etc/GMT+3
GMT-3,Etc/GMT-3
GMT+4,Etc/GMT+4
GMT-4,Etc/GMT-4
GMT+5,Etc/GMT+5
GMT-5,Etc/GMT-5
GMT+6,Etc/GMT+6
GMT-6,Etc/GMT-6
GMT+7,Etc/GMT+7
GMT-7,Etc/GMT-7
GMT+8,Etc/GMT+8
GMT-8,Etc/GMT-8
GMT+9,Etc/GMT+9
GMT-9,Etc/GMT-9
GODTHAB,America/Godthab
GOOSE_BAY,America/Goose_Bay
GRAND_TURK,America/Grand_Turk
GRENADA,America/Grenada
GUADALCANAL,Pacific/Guadalcanal
GUADELOUPE,America/Guadeloupe
GUAM,Pacific/Guam
GUATEMALA,America/Guatemala
GUAYAQUIL,America/Guayaquil
GUERNSEY,Europe/Guernsey
GUYANA,America/Guyana
HALIFAX,America/Halifax
HARARE,Africa/Harare
HARBIN,Asia/Harbin
HAVANA,America/Havana
HAWAII,US/Hawaii
HEBRON,Asia/Hebron
HELSINKI,Europe/Helsinki
HERMOSILLO,America/Hermosillo
HOBART,Australia/Hobart
HO_CHI_MINH,Asia/Ho_Chi_Minh
HONG_KONG,Asia/Hong_Kong
HONOLULU,Pacific/Honolulu
HOVD,Asia/Hovd
INDIANAPOLIS,America/Indianapolis
INDIANA-STARKE,US/Indiana-Starke
INUVIK,America/Inuvik
IQALUIT,America/Iqaluit
IRKUTSK,Asia/Irkutsk
ISLE_OF_MAN,Europe/Isle_of_Man
ISTANBUL,Asia/Istanbul
JAKARTA,Asia/Jakarta
JAN_MAYEN,Atlantic/Jan_Mayen
JAYAPURA,Asia/Jayapura
JERSEY,Europe/Jersey
JERUSALEM,Asia/Jerusalem
JOHANNESBURG,Africa/Johannesburg
JOHNSTON,Pacific/Johnston
JUBA,Africa/Juba
JUJUY,America/Jujuy
JUNEAU,America/Juneau
KABUL,Asia/Kabul
KALININGRAD,Europe/Kaliningrad
KAMCHATKA,Asia/Kamchatka
KAMPALA,Africa/Kampala
KARACHI,Asia/Karachi
KASHGAR,Asia/Kashgar
KATHMANDU,Asia/Kathmandu
KATMANDU,Asia/Katmandu
KERGUELEN,Indian/Kerguelen
KHANDYGA,Asia/Khandyga
KHARTOUM,Africa/Khartoum
KIEV,Europe/Kiev
KIGALI,Africa/Kigali
KINSHASA,Africa/Kinshasa
KIRITIMATI,Pacific/Kiritimati
KIROV,Europe/Kirov
KNOX,America/Indiana/Knox
KNOX_IN,America/Knox_IN
KOLKATA,Asia/Kolkata
KOSRAE,Pacific/Kosrae
KRALENDIJK,America/Kralendijk
KRASNOYARSK,Asia/Krasnoyarsk
KUALA_LUMPUR,Asia/Kuala_Lumpur
KUCHING,Asia/Kuching
KUWAIT,Asia/Kuwait
LAGOS,Africa/Lagos
LA_PAZ,America/La_Paz
LA_RIOJA,America/Argentina/La_Rioja
LHI,Australia/LHI
LIBREVILLE,Africa/Libreville
LIMA,America/Lima
LINDEMAN,Australia/Lindeman
LISBON,Europe/Lisbon
LJUBLJANA,Europe/Ljubljana
LOME,Africa/Lome
LONDON,Europe/London
LONGYEARBYEN,Arctic/Longyearbyen
LORD_HOWE,Australia/Lord_Howe
LOS_ANGELES,America/Los_Angeles
LOUISVILLE,America/Louisville
LOWER_PRINCES,America/Lower_Princes
LUANDA,Africa/Luanda
LUBUMBASHI,Africa/Lubumbashi
LUSAKA,Africa/Lusaka
LUXEMBOURG,Europe/Luxembourg
MACAO,Asia/Macao
MACAU,Asia/Macau
MACEIO,America/Maceio
MACQUARIE,Antarctica/Macquarie
MADEIRA,Atlantic/Madeira
MADRID,Europe/Madrid
MAGADAN,Asia/Magadan
MAHE,Indian/Mahe
MAJURO,Pacific/Majuro
MAKASSAR,Asia/Makassar
MALABO,Africa/Malabo
MALDIVES,Indian/Maldives
MALTA,Europe/Malta
MANAGUA,America/Managua
MANAUS,America/Manaus
MANILA,Asia/Manila
MAPUTO,Africa/Maputo
MARENGO,America/Indiana/Marengo
MARIEHAMN,Europe/Mariehamn
MARIGOT,America/Marigot
MARQUESAS,Pacific/Marquesas
MARTINIQUE,America/Martinique
MASERU,Africa/Maseru
MATAMOROS,America/Matamoros
MAURITIUS,Indian/Mauritius
MAWSON,Antarctica/Mawson
MAYOTTE,Indian/Mayotte
MAZATLAN,America/Mazatlan
MBABANE,Africa/Mbabane
MCMURDO,Antarctica/McMurdo
MELBOURNE,Australia/Melbourne
MENDOZA,America/Mendoza
MENOMINEE,America/Menominee
MERIDA,America/Merida
METLAKATLA,America/Metlakatla
MEXICO_CITY,America/Mexico_City
MICHIGAN,US/Michigan
MIDWAY,Pacific/Midway
MINSK,Europe/Minsk
MIQUELON,America/Miquelon
MOGADISHU,Africa/Mogadishu
MONACO,Europe/Monaco
MONCTON,America/Moncton
MONROVIA,Africa/Monrovia
MONTERREY,America/Monterrey
MONTEVIDEO,America/Montevideo
MONTICELLO,America/Kentucky/Monticello
MONTREAL,America/Montreal
MONTSERRAT,America/Montserrat
MOSCOW,Europe/Moscow
MOUNTAIN,Canada/Mountain
MUSCAT,Asia/Muscat
NAIROBI,Africa/Nairobi
NASSAU,America/Nassau
NAURU,Pacific/Nauru
NDJAMENA,Africa/Ndjamena
NEWFOUNDLAND,Canada/Newfoundland
NEW_SALEM,America/North_Dakota/New_Salem
NEW_YORK,America/New_York
NIAMEY,Africa/Niamey
NICOSIA,Asia/Nicosia
NIPIGON,America/Nipigon
NIUE,Pacific/Niue
NOME,America/Nome
NORFOLK,Pacific/Norfolk
NORONHA,America/Noronha
NORTH,Australia/North
NOUAKCHOTT,Africa/Nouakchott
NOUMEA,Pacific/Noumea
NOVOKUZNETSK,Asia/Novokuznetsk
NOVOSIBIRSK,Asia/Novosibirsk
NSW,Australia/NSW
NUUK,America/Nuuk
OJINAGA,America/Ojinaga
OMSK,Asia/Omsk
ORAL,Asia/Oral
OSLO,Europe/Oslo
OUAGADOUGOU,Africa/Ouagadougou
PACIFIC,Canada/Pacific
PAGO_PAGO,Pacific/Pago_Pago
PALAU,Pacific/Palau
PALMER,Antarctica/Palmer
PANAMA,America/Panama
PANGNIRTUNG,America/Pangnirtung
PARAMARIBO,America/Paramaribo
PARIS,Europe/Paris
PDT,PST8PDT
PERTH,Australia/Perth
PETERSBURG,America/Indiana/Petersburg
PHNOM_PENH,Asia/Phnom_Penh
PHOENIX,America/Phoenix
PITCAIRN,Pacific/Pitcairn
PODGORICA,Europe/Podgorica
POHNPEI,Pacific/Pohnpei
PONAPE,Pacific/Ponape
PONTIANAK,Asia/Pontianak
PORT-AU-PRINCE,America/Port-au-Prince
PORT_MORESBY,Pacific/Port_Moresby
PORTO_ACRE,America/Porto_Acre
PORT_OF_SPAIN,America/Port_of_Spain
PORTO-NOVO,Africa/Porto-Novo
PORTO_VELHO,America/Porto_Velho
PRAGUE,Europe/Prague
PST,PST8PDT
PUERTO_RICO,America/Puerto_Rico
PUNTA_ARENAS,America/Punta_Arenas
PYONGYANG,Asia/Pyongyang
QATAR,Asia/Qatar
QOSTANAY,Asia/Qostanay
QUEENSLAND,Australia/Queensland
QYZYLORDA,Asia/Qyzylorda
RAINY_RIVER,America/Rainy_River
RANGOON,Asia/Rangoon
RANKIN_INLET,America/Rankin_Inlet
RAROTONGA,Pacific/Rarotonga
RECIFE,America/Recife
REGINA,America/Regina
RESOLUTE,America/Resolute
REUNION,Indian/Reunion
REYKJAVIK,Atlantic/Reykjavik
RIGA,Europe/Riga
RIO_BRANCO,America/Rio_Branco
RIO_GALLEGOS,America/Argentina/Rio_Gallegos
RIYADH,Asia/Riyadh
ROME,Europe/Rome
ROSARIO,America/Rosario
ROTHERA,Antarctica/Rothera
SAIGON,Asia/Saigon
SAIPAN,Pacific/Saipan
SAKHALIN,Asia/Sakhalin
SALTA,America/Argentina/Salta
SAMARA,Europe/Samara
SAMARKAND,Asia/Samarkand
SAMOA,Pacific/Samoa
SAN_JUAN,America/Argentina/San_Juan
SAN_LUIS,America/Argentina/San_Luis
SAN_MARINO,Europe/San_Marino
SANTA_ISABEL,America/Santa_Isabel
SANTAREM,America/Santarem
SANTIAGO,America/Santiago
SANTO_DOMINGO,America/Santo_Domingo
SAO_PAULO,America/Sao_Paulo
SAO_TOME,Africa/Sao_Tome
SARAJEVO,Europe/Sarajevo
SARATOV,Europe/Saratov
SASKATCHEWAN,Canada/Saskatchewan
SCORESBYSUND,America/Scoresbysund
SEOUL,Asia/Seoul
SHANGHAI,Asia/Shanghai
SHIPROCK,America/Shiprock
SIMFEROPOL,Europe/Simferopol
SITKA,America/Sitka
SKOPJE,Europe/Skopje
SOFIA,Europe/Sofia
SOUTH,Australia/South
SOUTH_GEORGIA,Atlantic/South_Georgia
SOUTH_POLE,Antarctica/South_Pole
SREDNEKOLYMSK,Asia/Srednekolymsk
STANLEY,Atlantic/Stanley
ST_BARTHELEMY,America/St_Barthelemy
ST_HELENA,Atlantic/St_Helena
ST_JOHNS,America/St_Johns
ST_KITTS,America/St_Kitts
ST_LUCIA,America/St_Lucia
STOCKHOLM,Europe/Stockholm
ST_THOMAS,America/St_Thomas
ST_VINCENT,America/St_Vincent
SWIFT_CURRENT,America/Swift_Current
SYDNEY,Australia/Sydney
SYOWA,Antarctica/Syowa
TAHITI,Pacific/Tahiti
TAIPEI,Asia/Taipei
TALLINN,Europe/Tallinn
TARAWA,Pacific/Tarawa
TASHKENT,Asia/Tashkent
TASMANIA,Australia/Tasmania
TBILISI,Asia/Tbilisi
TEGUCIGALPA,America/Tegucigalpa
TEHRAN,Asia/Tehran
TEL_AVIV,Asia/Tel_Aviv
TELL_CITY,America/Indiana/Tell_City
THIMBU,Asia/Thimbu
THIMPHU,Asia/Thimphu
THULE,America/Thule
THUNDER_BAY,America/Thunder_Bay
TIJUANA,America/Tijuana
TIMBUKTU,Africa/Timbuktu
TIRANE,Europe/Tirane
TIRASPOL,Europe/Tiraspol
TOKYO,Asia/Tokyo
TOMSK,Asia/Tomsk
TONGATAPU,Pacific/Tongatapu
TORONTO,America/Toronto
TORTOLA,America/Tortola
TRIPOLI,Africa/Tripoli
TROLL,Antarctica/Troll
TRUK,Pacific/Truk
TUCUMAN,America/Argentina/Tucuman
TUNIS,Africa/Tunis
UJUNG_PANDANG,Asia/Ujung_Pandang
ULAANBAATAR,Asia/Ulaanbaatar
ULAN_BATOR,Asia/Ulan_Bator
ULYANOVSK,Europe/Ulyanovsk
URUMQI,Asia/Urumqi
USHUAIA,America/Argentina/Ushuaia
UST-NERA,Asia/Ust-Nera
UZHGOROD,Europe/Uzhgorod
VADUZ,Europe/Vaduz
VANCOUVER,America/Vancouver
VATICAN,Europe/Vatican
VEVAY,America/Indiana/Vevay
VICTORIA,Australia/Victoria
VIENNA,Europe/Vienna
VIENTIANE,Asia/Vientiane
VILNIUS,Europe/Vilnius
VINCENNES,America/Indiana/Vincennes
VIRGIN,America/Virgin
VLADIVOSTOK,Asia/Vladivostok
VOLGOGRAD,Europe/Volgograd
VOSTOK,Antarctica/Vostok
WAKE,Pacific/Wake
WALLIS,Pacific/Wallis
WARSAW,Europe/Warsaw
WHITEHORSE,America/Whitehorse
WINAMAC,America/Indiana/Winamac
WINDHOEK,Africa/Windhoek
WINNIPEG,America/Winnipeg
YAKUTAT,America/Yakutat
YAKUTSK,Asia/Yakutsk
YANCOWINNA,Australia/Yancowinna
YANGON,Asia/Yangon
YAP,Pacific/Yap
YEKATERINBURG,Asia/Yekaterinburg
YELLOWKNIFE,America/Yellowknife
YEREVAN,Asia/Yerevan
YUKON,Canada/Yukon
ZAGREB,Europe/Zagreb
ZAPOROZHYE,Europe/Zaporozhye
ZURICH,Europe/Zurich
